,ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
0,SPX,20231030,4139.39,4166.82,4177.47,4132.94,4117.37,49.45,1.2,1.08,2600517.0
1,SPTSX,20231030,523.64,513.44,523.64,513.25,520.51,-7.07,-1.36,2.0,
2,IXIC,20231030,12750.47,12789.49,12842.96,12691.56,12643.01,146.47,1.16,1.2,801655.32
3,RUT,20231030,1646.36,1647.29,1657.32,1635.41,1636.94,10.35,0.63,1.34,
4,DJI,20231030,32537.54,32928.96,33002.97,32537.54,32417.59,511.37,1.58,1.44,
5,AS51,20231030,6828.2,6773.7,6831.0,6752.8,6828.2,-54.5,-0.8,1.15,600578.13
6,RTS,20231030,1087.36,1094.37,1098.78,1084.27,1079.07,15.3,1.42,1.34,
7,SENSEX,20231030,63885.56,64112.65,64184.58,63431.45,63782.8,329.85,0.52,1.18,5603.67
8,FTSE,20231030,7291.28,7327.39,7361.5,7291.28,7291.28,36.11,0.5,0.96,1011064.0
9,FCHI,20231030,6826.95,6825.07,6854.6,6809.84,6795.38,29.69,0.44,0.66,
10,CSX5P,20231030,4023.42,4028.32,4050.98,4023.42,4014.36,13.96,0.35,0.69,254486.44
11,GDAXI,20231030,14770.95,14716.54,14798.0,14678.73,14687.41,29.13,0.2,0.81,75990.0
12,HKTECH,20231030,3763.2,3854.31,3854.31,3763.2,3806.1,48.21,1.27,2.39,
13,CKLSE,20231030,1440.04,1439.2,1441.8,1436.98,1441.9,-2.7,-0.19,0.33,
14,HKAH,20231030,1674.37,1677.55,1685.11,1660.78,1687.54,-9.99,-0.59,1.44,
15,XIN9,20231030,11958.57,11999.91,12032.63,11921.99,11958.57,41.34,0.35,0.93,
16,TWII,20231030,16142.06,16149.68,16203.33,16101.24,16134.61,15.07,0.09,0.63,4463.29
17,KS11,20231030,2292.34,2310.55,2317.75,2292.34,2302.81,7.74,0.34,1.1,
18,N225,20231030,30663.48,30696.96,30762.5,30538.29,30991.69,-294.73,-0.95,0.72,1869950.0
19,HSI,20231030,17225.65,17406.36,17406.36,17225.65,17398.73,7.63,0.04,1.04,2665231.0
20,HSHKCI,20231030,2580.81,2608.21,2609.16,2580.81,2603.51,4.7,0.18,1.09,8229307.0
